"name","artists","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"La Diabla","Xavi","172264","La Diabla","2023-11-30","0.751","0.819","11","-4.372","0","0.0409","0.255","0.0","0.236","0.697","131.842"
"yes, and?","Ariana Grande","214994","yes, and?","2024-01-12","0.788","0.758","1","-6.513","1","0.0505","0.198","8.5e-05","0.104","0.823","119.008"
"greedy","Tate McRae","131872","greedy","2023-09-15","0.75","0.733","6","-3.18","0","0.0319","0.256","0.0","0.114","0.844","111.018"
"Lovin On Me","Jack Harlow","138411","Lovin On Me","2023-11-10","0.943","0.558","2","-4.911","1","0.0568","0.0026","2.19e-06","0.0937","0.606","104.983"
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp","244684","The Idol Episode 4 (Music from the HBO Original Series)","2023-06-23","0.522","0.641","8","-6.287","1","0.0318","0.0545","0.0","0.162","0.202","87.51"
"My Love Mine All Mine","Mitski","137773","The Land Is Inhospitable and So Are We","2023-09-15","0.504","0.308","9","-14.958","1","0.0321","0.868","0.135","0.158","0.121","113.95"
"Cruel Summer","Taylor Swift","178426","Lover","2019-08-23","0.552","0.702","9","-5.707","1","0.157","0.117","2.06e-05","0.105","0.564","169.994"
"Stick Season","Noah Kahan","182346","Stick Season","2022-10-14","0.662","0.488","9","-6.894","1","0.0682","0.782","0.0","0.102","0.817","117.913"
"LUNA","Feid, ATL Jacob","196800","FERXXOCALIPSIS","2023-12-01","0.774","0.86","7","-2.888","0","0.13","0.131","0.0","0.116","0.446","100.019"
"redrum","21 Savage","270697","american dream","2024-01-12","0.624","0.74","2","-8.445","1","0.0481","0.00529","0.000224","0.5","0.246","172.089"
"Igual Que Un Ángel (with Peso Pluma)","Kali Uchis, Peso Pluma","260370","ORQUÍDEAS","2024-01-12","0.685","0.61","5","-5.36","0","0.0343","0.00348","0.00054","0.183","0.464","107.999"
"La Víctima","Xavi","156345","La Víctima","2023-08-17","0.778","0.835","11","-3.598","0","0.0767","0.152","0.0","0.109","0.666","140.082"
"Murder On The Dancefloor","Sophie Ellis-Bextor","230013","Read My Lips","2002-06-06","0.73","0.849","1","-5.281","0","0.0299","0.00234","2.6e-05","0.312","0.887","117.31"
"Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series","The Weeknd, Playboi Carti, Madonna","215466","Popular (Music from the HBO Original Series)","2023-06-02","0.855","0.678","1","-6.276","1","0.189","0.0569","3.69e-05","0.412","0.852","99.029"
"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap, Young Miko","187172","Young Miko: Bzrp Music Sessions, Vol. 58","2024-01-10","0.704","0.571","7","-8.212","0","0.156","0.588","0.0","0.117","0.443","96.016"
"I Wanna Be Yours","Arctic Monkeys","183956","AM","2013-09-09","0.464","0.417","0","-9.345","0","0.0256","0.136","0.022","0.0974","0.479","67.528"
"Lose Control","Teddy Swims","210688","I've Tried Everything But Therapy (Part 1)","2023-09-15","0.561","0.604","9","-4.409","1","0.0337","0.199","1.9e-05","0.104","0.242","159.92"
"BELLAKEO","Peso Pluma, Anitta","197333","BELLAKEO","2023-12-07","0.72","0.88","9","-2.834","1","0.101","0.0562","0.06","0.153","0.463","180.011"
"PERRO NEGRO","Bad Bunny, Feid","162767","nadie sabe lo que va a pasar mañana","2023-10-13","0.911","0.778","5","-2.248","1","0.262","0.0887","2.16e-05","0.179","0.345","96.057"
"Strangers","Kenya Grace","172964","Strangers","2023-09-01","0.628","0.523","11","-8.307","0","0.0946","0.701","0.00274","0.219","0.416","169.982"
"Paint The Town Red","Doja Cat","230480","Scarlet","2023-09-20","0.864","0.556","2","-7.683","0","0.194","0.255","3.85e-06","0.112","0.726","99.974"
"Seven (feat. Latto) (Explicit Ver.)","Jung Kook, Latto","183550","GOLDEN","2023-11-03","0.79","0.831","11","-4.185","1","0.044","0.312","0.0","0.0797","0.872","124.987"
"QLONA","KAROL G, Peso Pluma","172797","MAÑANA SERÁ BONITO (BICHOTA SEASON)","2023-08-10","0.841","0.738","7","-7.455","0","0.307","0.52","0.0","0.0892","0.484","169.918"
"Beautiful Things","Benson Boone","180304","Beautiful Things","2024-01-18","0.472","0.471","10","-5.692","1","0.0603","0.151","0.0","0.14","0.219","105.029"
