domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,social cohesion,World,socialSupport,2000,5697045316.0,11511.032635419457,
social,social cohesion,World,socialSupport,2001,5769703014.0,11642.650442749093,
social,social cohesion,World,socialSupport,2002,5842014420.0,11782.637161879573,
social,social cohesion,World,socialSupport,2003,5913980189.0,12066.579183707465,
social,social cohesion,World,socialSupport,2004,5986016444.0,12533.044783811456,
social,social cohesion,World,socialSupport,2005,6058334901.0,12942.937169723027,20.469479993522285
social,social cohesion,World,socialSupport,2006,6130799309.0,13461.392711498323,20.88536506494553
social,social cohesion,World,socialSupport,2007,6203692038.0,13991.259635488695,23.90772940285896
social,social cohesion,World,socialSupport,2008,6277951592.0,14190.348581759928,24.203065074118012
social,social cohesion,World,socialSupport,2009,6353458062.0,13926.245250794182,22.28383833877736
social,social cohesion,World,socialSupport,2010,6428996060.0,14456.692103510704,23.00505096448988
social,social cohesion,World,socialSupport,2011,6505082819.0,14868.723115954395,24.01229118443044
social,social cohesion,World,socialSupport,2012,6582435210.0,15167.367281369412,25.172528547292387
social,social cohesion,World,socialSupport,2013,6660245460.0,15466.221266740382,24.929010788117253
social,social cohesion,World,socialSupport,2014,6737819136.0,15822.54311864738,22.40659571646502
social,social cohesion,World,socialSupport,2015,6813863393.0,16149.754386108643,23.221970771978636
social,social cohesion,World,socialSupport,2016,6888265417.0,16464.365035837538,23.615634044472543
social,social cohesion,World,socialSupport,2017,6961902108.0,16921.842126261992,23.41371610047156
social,social cohesion,World,socialSupport,2018,7032749295.0,17336.746202719998,22.360746297139983
social,social cohesion,World,socialSupport,2019,7100131909.0,17660.681616347716,23.420925024082024
social,social cohesion,World,socialSupport,2020,7162432399.0,16944.91136794954,23.478029612767077
social,social cohesion,World,socialSupport,2021,7217192496.0,17851.686894085637,24.319738719568107
social,social cohesion,World,socialSupport,2022,7268893397.0,18312.534691469777,23.01191148498269
social,social cohesion,Bottom-40,socialSupport,2000,2068606709.0,2657.2786024748248,
social,social cohesion,Bottom-40,socialSupport,2001,2111705855.0,2731.934993762761,
social,social cohesion,Bottom-40,socialSupport,2002,2155516332.0,2798.596426746777,
social,social cohesion,Bottom-40,socialSupport,2003,2199225441.0,2924.098931047366,
social,social cohesion,Bottom-40,socialSupport,2004,2242454831.0,3079.1075996709696,
social,social cohesion,Bottom-40,socialSupport,2005,2285372248.0,3232.607686231488,27.97783035645124
social,social cohesion,Bottom-40,socialSupport,2006,2327837030.0,3412.653654300569,28.416316969255632
social,social cohesion,Bottom-40,socialSupport,2007,2369725015.0,3588.4157754294074,37.62732259407227
social,social cohesion,Bottom-40,socialSupport,2008,2411777263.0,3663.5010115225737,33.000107974365946
social,social cohesion,Bottom-40,socialSupport,2009,2454747332.0,3815.923832807464,32.702104404688924
social,social cohesion,Bottom-40,socialSupport,2010,2498623479.0,4005.671853583656,33.855732806912485
social,social cohesion,Bottom-40,socialSupport,2011,2543300889.0,4138.407968711472,36.12058847173536
social,social cohesion,Bottom-40,socialSupport,2012,2587910089.0,4281.808014532431,38.69485490379903
social,social cohesion,Bottom-40,socialSupport,2013,2632058645.0,4465.57367256785,37.348308216634365
social,social cohesion,Bottom-40,socialSupport,2014,2675979160.0,4676.780023915346,33.804290929472685
social,social cohesion,Bottom-40,socialSupport,2015,2719520306.0,4893.09160667262,33.74461060527578
social,social cohesion,Bottom-40,socialSupport,2016,2763758398.0,5096.673417169512,32.81659492395784
social,social cohesion,Bottom-40,socialSupport,2017,2808750144.0,5327.612591183659,32.974780242219595
social,social cohesion,Bottom-40,socialSupport,2018,2853383175.0,5561.141260871828,31.522038504286016
social,social cohesion,Bottom-40,socialSupport,2019,2897623168.0,5714.772660140999,35.93962639223143
social,social cohesion,Bottom-40,socialSupport,2020,2942137369.0,5398.3644631937,33.835558126874176
social,social cohesion,Bottom-40,socialSupport,2021,2984932866.0,5664.189471179911,37.66350589137476
social,social cohesion,Bottom-40,socialSupport,2022,3025970227.0,5946.329182092706,36.09616174809332
social,social cohesion,Middle-40,socialSupport,2000,2708222736.0,7641.4605772523855,
social,social cohesion,Middle-40,socialSupport,2001,2731386678.0,7851.073005672814,
social,social cohesion,Middle-40,socialSupport,2002,2753358616.0,8117.255404838118,
social,social cohesion,Middle-40,socialSupport,2003,2774863718.0,8469.510670568241,
social,social cohesion,Middle-40,socialSupport,2004,2796726888.0,9019.265075898234,
social,social cohesion,Middle-40,socialSupport,2005,2818763300.0,9528.41552352324,19.322720363351948
social,social cohesion,Middle-40,socialSupport,2006,2840665243.0,10233.75332867938,19.73697206160567
social,social cohesion,Middle-40,socialSupport,2007,2862618119.0,11042.149030315284,18.541516162005134
social,social cohesion,Middle-40,socialSupport,2008,2885541102.0,11585.56429757122,22.30143929180781
social,social cohesion,Middle-40,socialSupport,2009,2909490695.0,11598.623807432848,18.06326762262236
social,social cohesion,Middle-40,socialSupport,2010,2933717376.0,12280.143120263418,18.861156186754584
